Pirces_New_Start_10,,prices_New_Strat_5,,Prices_New_Strat_2,,Quantity_Sold,,Quantity_Sold_Dec10,,,Quantity_Sold_Dec5,,,Quantity_Sold_Dec2,,,Sales_10_10,Rev_10_10,,Sales_10_5,Rev_10_5,,Sales_10_2,Rev_10_2,,Prices_New_Strat_8
240.498,,253.859,,261.8756,,18,,16.2,,,17.1,,,17.64,,,3896.0676,56967251.98,,4112.5158,60132099.31,,4242.38472,62031007.71,,245.8424
3788.496,,3998.968,,4125.2512,,17,,15.3,,,16.15,,,16.66,,,57963.9888,,,61184.2104,,,63116.34336,,,3872.6848
334.26,,352.83,,363.972,,30,,27,,,28.5,,,29.4,,,9025.02,,,9526.41,,,9827.244,,,341.688
4020.975,,4244.3625,,4378.395,,39,,35.1,,,37.05,,,38.22,,,141136.2225,,,148977.1238,,,153681.6645,,,4110.33
623.439,,658.0745,,678.8558,,13,,11.7,,,12.35,,,12.74,,,7294.2363,,,7699.47165,,,7942.61286,,,637.2932
995.859,,1051.1845,,1084.3798,,32,,28.8,,,30.4,,,31.36,,,28680.7392,,,30274.1136,,,31230.13824,,,1017.9892
2361.681,,2492.8855,,2571.6082,,29,,26.1,,,27.55,,,28.42,,,61639.8741,,,65064.31155,,,67118.97402,,,2414.1628
3568.185,,3766.4175,,3885.357,,46,,41.4,,,43.7,,,45.08,,,147722.859,,,155929.6845,,,160853.7798,,,3647.478
985.905,,1040.6775,,1073.541,,30,,27,,,28.5,,,29.4,,,26619.435,,,28098.2925,,,28985.607,,,1007.814
2414.106,,2548.223,,2628.6932,,18,,16.2,,,17.1,,,17.64,,,39108.5172,,,41281.2126,,,42584.82984,,,2467.7528
2265.84,,2391.72,,2467.248,,13,,11.7,,,12.35,,,12.74,,,26510.328,,,27983.124,,,28866.8016,,,2316.192
1023.696,,1080.568,,1114.6912,,43,,38.7,,,40.85,,,42.14,,,39617.0352,,,41817.9816,,,43138.54944,,,1046.4448
576.981,,609.0355,,628.2682,,21,,18.9,,,19.95,,,20.58,,,10904.9409,,,11510.77095,,,11874.26898,,,589.8028
