NEWP_10,NEWP_5,NEWP_2,NEWP_8,Quantity_Sold,QSOLD10,QSOLD5,QSOLD2,Unit_Cost,VC_10,VC10SUM,VC_5,VC5SUM,VC_2,VC2SUM,,Sales_10_10,Rev_10_10,,Sales_10_5,Rev_10_5,,Sales_10_2,Rev_10_2,,CI_10_10,CI_10_5,CI_10_2,,SALES_5_10,REV_5_10,SALE_5_5,REV_5_5,SALE_5_2,REV_5_2,CI_5_10,CI_5_5,CI_5_2,SALE_2_10,REV_2_10,SALE_2_5,REV_2_5,SALE_2_2,REV_2_2,CI_2_10,CI_2_5,CI_2_2,SALE_8_10,REV_8_10,SALE_8_5,REV_8_5,SALE_8_2,REV_8_2,CI_8_10,CI_8_5,CI_8_2,Unit_Price,9%,SALE_9_10,REV_9_10,SALE_9_5,REV_9_5,SALE_9_2,REV_9_2,CI_9_10,CI_9_5,CI_9_2
240.498,253.859,261.8756,245.8424,18,16.2,17.1,17.64,152.75,2474.55,57457884.28,2612.025,60649988.96,2694.51,62565251.77,,3896.0676,56967251.98,,4112.5158,60132099.31,,4242.38472,62031007.71,,-490632.296,-517889.648,-534244.0572,,4112.5158,60132099.31,4340.9889,63472771.49,4478.07276,65477174.8,2674215.034,2822782.533,2911923.034,4242.38472,62031007.71,4478.07276,65477174.8,4619.485584,67544875.06,4573123.43,4827185.843,4979623.291,3982.64688,58233190.91,4203.90504,61468368.18,4336.659936,63409474.54,775306.6319,818379.2225,844222.7769,267.22,243.1702,3939.35724,57600221.44,4158.21042,60800233.74,4289.522328,62720241.13,142337.1655,150244.7858,154989.358
3788.496,3998.968,4125.2512,3872.6848,17,15.3,16.15,16.66,3816.39,58390.767,,61634.6985,,63581.0574,,,57963.9888,,,61184.2104,,,63116.34336,,,,,,,61184.2104,,64583.3332,,66622.80688,,,,,63116.34336,,66622.80688,,68726.68499,,,,,59252.07744,,62543.85952,,64518.92877,,,,,4209.44,3830.5904,58608.03312,,61864.03496,,63817.63606,,,,
334.26,352.83,363.972,341.688,30,27,28.5,29.4,261.56,7062.12,,7454.46,,7689.864,,,9025.02,,,9526.41,,,9827.244,,,,,,,9526.41,,10055.655,,10373.202,,,,,9827.244,,10373.202,,10700.7768,,,,,9225.576,,9738.108,,10045.6272,,,,,371.4,337.974,9125.298,,9632.259,,9936.4356,,,,
4020.975,4244.3625,4378.395,4110.33,39,35.1,37.05,38.22,4330.03,151984.053,,160427.6115,,165493.7466,,,141136.2225,,,148977.1238,,,153681.6645,,,,,,,148977.1238,,157253.6306,,162219.5348,,,,,153681.6645,,162219.5348,,167342.2569,,,,,144272.583,,152287.7265,,157096.8126,,,,,4467.75,4065.6525,142704.4028,,150632.4251,,155389.2386,,,,
623.439,658.0745,678.8558,637.2932,13,11.7,12.35,12.74,637.37,7457.229,,7871.5195,,8120.0938,,,7294.2363,,,7699.47165,,,7942.61286,,,,,,,7699.47165,,8127.220075,,8383.86913,,,,,7942.61286,,8383.86913,,8648.622892,,,,,7456.33044,,7870.57102,,8119.115368,,,,,692.71,630.3661,7375.28337,,7785.021335,,8030.864114,,,,
995.859,1051.1845,1084.3798,1017.9892,32,28.8,30.4,31.36,900.79,25942.752,,27384.016,,28248.7744,,,28680.7392,,,30274.1136,,,31230.13824,,,,,,,30274.1136,,31956.0088,,32965.14592,,,,,31230.13824,,32965.14592,,34006.15053,,,,,29318.08896,,30946.87168,,31924.14131,,,,,1106.51,1006.9241,28999.41408,,30610.49264,,31577.13978,,,,
2361.681,2492.8855,2571.6082,2414.1628,29,26.1,27.55,28.42,2408.81,62869.941,,66362.7155,,68458.3802,,,61639.8741,,,65064.31155,,,67118.97402,,,,,,,65064.31155,,68678.99553,,70847.80591,,,,,67118.97402,,70847.80591,,73085.10504,,,,,63009.64908,,66510.18514,,68610.50678,,,,,2624.09,2387.9219,62324.76159,,65787.24835,,67864.7404,,,,
3568.185,3766.4175,3885.357,3647.478,46,41.4,43.7,45.08,3702.51,153283.914,,161799.687,,166909.1508,,,147722.859,,,155929.6845,,,160853.7798,,,,,,,155929.6845,,164592.4448,,169790.1009,,,,,160853.7798,,169790.1009,,175151.8936,,,,,151005.5892,,159394.7886,,164428.3082,,,,,3964.65,3607.8315,149364.2241,,157662.2366,,162641.044,,,,
985.905,1040.6775,1073.541,1007.814,30,27,28.5,29.4,738.06,19927.62,,21034.71,,21698.964,,,26619.435,,,28098.2925,,,28985.607,,,,,,,28098.2925,,29659.30875,,30595.9185,,,,,28985.607,,30595.9185,,31562.1054,,,,,27210.978,,28722.699,,29629.7316,,,,,1095.45,996.8595,26915.2065,,28410.49575,,29307.6693,,,,
2414.106,2548.223,2628.6932,2467.7528,18,16.2,17.1,17.64,2228.35,36099.27,,38104.785,,39308.094,,,39108.5172,,,41281.2126,,,42584.82984,,,,,,,41281.2126,,43574.6133,,44950.65372,,,,,42584.82984,,44950.65372,,46370.14805,,,,,39977.59536,,42198.57288,,43531.15939,,,,,2682.34,2440.9294,39543.05628,,41739.89274,,43057.99462,,,,
2265.84,2391.72,2467.248,2316.192,13,11.7,12.35,12.74,2440.11,28549.287,,30135.3585,,31087.0014,,,26510.328,,,27983.124,,,28866.8016,,,,,,,27983.124,,29537.742,,30470.5128,,,,,28866.8016,,30470.5128,,31432.73952,,,,,27099.4464,,28604.9712,,29508.28608,,,,,2517.6,2291.016,26804.8872,,28294.0476,,29187.54384,,,,
1023.696,1080.568,1114.6912,1046.4448,43,38.7,40.85,42.14,1100.81,42601.347,,44968.0885,,46388.1334,,,39617.0352,,,41817.9816,,,43138.54944,,,,,,,41817.9816,,44141.2028,,45535.13552,,,,,43138.54944,,45535.13552,,46973.08717,,,,,40497.41376,,42747.27008,,44097.18387,,,,,1137.44,1035.0704,40057.22448,,42282.62584,,43617.86666,,,,
576.981,609.0355,628.2682,589.8028,21,18.9,19.95,20.58,622.01,11755.989,,12409.0995,,12800.9658,,,10904.9409,,,11510.77095,,,11874.26898,,,,,,,11510.77095,,12150.25823,,12533.95059,,,,,11874.26898,,12533.95059,,12929.75956,,,,,11147.27292,,11766.56586,,12138.14162,,,,,641.09,583.3919,11026.10691,,11638.66841,,12006.2053,,,,
3843.585,4057.1175,4185.237,3928.998,30,27,28.5,29.4,4190.28,113137.56,,119422.98,,123194.232,,,103776.795,,,109542.1725,,,113001.399,,,,,,,109542.1725,,115627.8488,,119279.2545,,,,,113001.399,,119279.2545,,123045.9678,,,,,106082.946,,111976.443,,115512.5412,,,,,4270.65,3886.2915,104929.8705,,110759.3078,,114256.9701,,,,
2582.64,2726.12,2812.208,2640.032,21,18.9,19.95,20.58,2537.2,47953.08,,50617.14,,52215.576,,,48811.896,,,51523.668,,,53150.7312,,,,,,,51523.668,,54386.094,,56103.5496,,,,,53150.7312,,56103.5496,,57875.24064,,,,,49896.6048,,52668.6384,,54331.85856,,,,,2869.6,2611.336,49354.2504,,52096.1532,,53741.29488,,,,
438.885,463.2675,477.897,448.638,48,43.2,45.6,47.04,121.19,5235.408,,5526.264,,5700.7776,,,18959.832,,,20013.156,,,20645.1504,,,,,,,20013.156,,21124.998,,21792.1032,,,,,20645.1504,,21792.1032,,22480.27488,,,,,19381.1616,,20457.8928,,21103.93152,,,,,487.65,443.7615,19170.4968,,20235.5244,,20874.54096,,,,
3978.135,4199.1425,4331.747,4066.538,17,15.3,16.15,16.66,4024.76,61578.828,,64999.874,,67052.5016,,,60865.4655,,,64246.88025,,,66275.7291,,,,,,,64246.88025,,67816.15138,,69957.71405,,,,,66275.7291,,69957.71405,,72166.90502,,,,,62218.0314,,65674.5887,,67748.52308,,,,,4420.15,4022.3365,61541.74845,,64960.73448,,67012.12609,,,,
